year,month,ron95_avg,diesel_avg,ron95_overall_avg,diesel_overall_avg
2026,march 17-21,86.44,104.15,,
2026,march 10-16,72.79,80.98,,
2026,march 3-9,60.52,57.8,73.25,80.97
,,,,,
2026,feb 24-march 2,62,56.7,,
2026,feb 17-23,63.82,58.4,,
2026,feb 10-16,63.25,58.13,,
2026,feb 3-9,62.95,57.63,63,57.71
,,,,,
2026,jan 27-feb 2,62.55,56.81,,
2026,jan 20-26,62.35,55.96,,
2026,jan 13-19,61.35,57.98,,
2026,jan6-12,61.4,57.88,,
2026,12-30-25 - jan5,61.695,57.835,61.869,57.293
,,,,,
2025,dec 23-29,61.82,57.8,,
2025,dec 16-22,62.52,58.835,,
2025,dec 9-15,62.42,59.035,,
2025,dec 2-8,61.82,59.135,62.145,58.70125
,,,,,
2025,nov 25-dec1,61.815,60.35,,
2025,nov18-24,61.915,60.05,,
2025,nov11-17,61.16,59.45,,
2025,nov 4 -10,60.91,57.95,,
2025,oct 28-nov3,60.06,58.2,61.172,59.2
,,,,,
2025,oct21-27,59.94,56.7,,
2025,oct14-20,60.64,57.6,,
2025,oct7-13,60.465,57.6,,
2025,sep30-oct6,60.39,56.675,60.35875,57.14375
,,,,,
2025,sep23-29,60.76,56.75,,
2025,sep16-22,60.21,58.05,,
2025,sep9-15,60.48,56.4,,
2025,sep2-8,59.21,55.25,60.165,56.6125
,,,,,
2025,aug26-sep1,60.01,55.25,,
2025,aug19-25,59.785,55.125,,
2025,aug12-18,59.85,56.38,,
2025,aug5-11,60.345,58.275,59.9975,56.2575
,,,,,
2025,jul29-aug4,59.025,57.175,,
2025,jul22-28,59.075,56.9,,
2025,jul15-21,58.875,56.9,,
2025,jul8-14,58.525,56.9,,
2025,jul1-7,59.625,58.245,59.025,57.224
,,,,,
2025,june24-30,60.975,59.3,,
2025,jun17-23,57.7,54.75,,
2025,jun10-16,56.58,52.85,58.42,55.63
,,,,,
2025,may20-26,59.1,52.325,,
2025,may13-19,58,52.225,,
2025,may6-12,58.15,52.675,,
2025,april29-may5,58.925,53.5,58.54375,52.68125
,,,,,
2025,apr22-28,58.25,53.75,,
2025,apr15-21,58.075,54.15,,
2025,apr8-14,62.375,57.1,,
2025,apr1-7,62.425,57.1,60.28125,55.525
,,,,,
2025,march25-31,60.725,56,,
2025,march18-24,63.885,56.3,,
2025,march11-17,63.885,56.9,,
2025,march4-10,65.685,57.35,63.545,56.6375
,,,,,
2025,feb25-march3,66.185,57.75,,
2025,feb18-24,65.835,57.55,,
2025,feb11-17,65.435,57.125,,
2025,feb4-10,65.485,57.675,65.735,57.525
,,,,,
2025,jan28-feb3,65.26,58.75,,
2025,jan21-27,66.01,58.7,,
2025,jan14-20,64.71,57.875,,
2025,jan7-13,63.935,57.425,64.97875,58.1875